State: 0, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 2,894,353, Time: 26.91
State: 1, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 11,534,353, Time: 109.49
State: 2, SolnCost: 19.00, # Moves: 19, # Nodes Gen: 1,934,353, Time: 16.05
State: 3, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,534,353, Time: 21.61
State: 4, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 22,574,353, Time: 219.77
State: 5, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,094,353, Time: 37.70
State: 6, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,254,353, Time: 59.10
State: 7, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 7,334,353, Time: 68.24
State: 8, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 14,174,353, Time: 129.84
State: 9, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,334,353, Time: 40.11
State: 10, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 7,334,353, Time: 70.13
State: 11, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,014,353, Time: 54.15
State: 12, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,574,353, Time: 40.49
State: 13, SolnCost: 18.00, # Moves: 18, # Nodes Gen: 1,814,353, Time: 17.07
State: 14, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 17.78
State: 15, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 2,054,353, Time: 18.19
State: 16, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,574,353, Time: 38.98
State: 17, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 6,134,353, Time: 56.82
State: 18, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 11,414,353, Time: 108.09
State: 19, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.05
State: 20, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 4,454,353, Time: 40.68
State: 21, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 5,654,353, Time: 49.92
State: 22, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 4,334,353, Time: 36.52
State: 23, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 11,774,353, Time: 108.31
State: 24, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 12,374,353, Time: 116.35
State: 25, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 8,654,353, Time: 81.84
State: 26, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 2,174,353, Time: 19.23
State: 27, SolnCost: 20.00, # Moves: 20, # Nodes Gen: 5,534,353, Time: 51.28
State: 28, SolnCost: 22.00, # Moves: 22, # Nodes Gen: 17,414,353, Time: 158.78
State: 29, SolnCost: 21.00, # Moves: 21, # Nodes Gen: 7,814,353, Time: 72.35
